Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,houston-cougars,clemson-tigers,michigan-wolverines,stanford-cardinal,wisconsin-badgers,texas-am-aggies,washington-huskies,ole-miss-rebels,utah-utes,tennessee-volunteers,florida-state-seminoles,san-diego-state-aztecs,baylor-bears,miami-fl-hurricanes,nebraska-cornhuskers,michigan-state-spartans,arizona-state-sun-devils,texas-longhorns,north-dakota-state-bison,tcu-horned-frogs,arkansas-razorbacks,florida-gators
adam-zucker,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,houston-cougars,clemson-tigers,wisconsin-badgers,stanford-cardinal,washington-huskies,texas-am-aggies,miami-fl-hurricanes,tennessee-volunteers,michigan-state-spartans,san-diego-state-aztecs,nebraska-cornhuskers,baylor-bears,florida-state-seminoles,utah-utes,arizona-state-sun-devils,arkansas-razorbacks,ole-miss-rebels,boise-state-broncos,wake-forest-demon-deacons,ucla-bruins,north-dakota-state-bison
andy-greder,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,stanford-cardinal,clemson-tigers,houston-cougars,tennessee-volunteers,wisconsin-badgers,washington-huskies,florida-state-seminoles,ole-miss-rebels,baylor-bears,texas-am-aggies,nebraska-cornhuskers,michigan-state-spartans,florida-gators,miami-fl-hurricanes,north-carolina-tar-heels,oklahoma-sooners,utah-utes,san-diego-state-aztecs,ucla-bruins,virginia-tech-hokies,boise-state-broncos
bill-landis,2016,5,alabama-crimson-tide,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,stanford-cardinal,michigan-wolverines,houston-cougars,clemson-tigers,washington-huskies,tennessee-volunteers,nebraska-cornhuskers,miami-fl-hurricanes,baylor-bears,utah-utes,florida-state-seminoles,ole-miss-rebels,arkansas-razorbacks,michigan-state-spartans,san-diego-state-aztecs,georgia-bulldogs,boise-state-broncos,colorado-buffaloes,tcu-horned-frogs,auburn-tigers
bob-asmussen,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,clemson-tigers,houston-cougars,wisconsin-badgers,stanford-cardinal,washington-huskies,texas-am-aggies,tennessee-volunteers,florida-state-seminoles,baylor-bears,miami-fl-hurricanes,michigan-state-spartans,nebraska-cornhuskers,ole-miss-rebels,georgia-bulldogs,san-diego-state-aztecs,utah-utes,texas-longhorns,florida-gators,north-dakota-state-bison,tcu-horned-frogs,arkansas-razorbacks
brent-axe,2016,5,alabama-crimson-tide,louisville-cardinals,ohio-state-buckeyes,houston-cougars,clemson-tigers,michigan-wolverines,texas-am-aggies,stanford-cardinal,wisconsin-badgers,washington-huskies,tennessee-volunteers,miami-fl-hurricanes,nebraska-cornhuskers,florida-state-seminoles,baylor-bears,utah-utes,michigan-state-spartans,ole-miss-rebels,arizona-state-sun-devils,arkansas-razorbacks,san-diego-state-aztecs,texas-longhorns,georgia-bulldogs,tcu-horned-frogs,north-dakota-state-bison
brett-mcmurphy,2016,5,louisville-cardinals,alabama-crimson-tide,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,houston-cougars,stanford-cardinal,clemson-tigers,tennessee-volunteers,michigan-wolverines,washington-huskies,florida-state-seminoles,miami-fl-hurricanes,nebraska-cornhuskers,north-carolina-tar-heels,san-diego-state-aztecs,michigan-state-spartans,utah-utes,baylor-bears,virginia-tech-hokies,west-virginia-mountaineers,boise-state-broncos,north-dakota-state-bison,ole-miss-rebels,arkansas-razorbacks
brian-howell,2016,5,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,stanford-cardinal,houston-cougars,washington-huskies,tennessee-volunteers,baylor-bears,miami-fl-hurricanes,texas-am-aggies,florida-state-seminoles,wisconsin-badgers,michigan-state-spartans,ole-miss-rebels,oklahoma-sooners,san-diego-state-aztecs,texas-longhorns,tcu-horned-frogs,nebraska-cornhuskers,boise-state-broncos,utah-utes,colorado-buffaloes,georgia-bulldogs
chris-murray,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,houston-cougars,wisconsin-badgers,clemson-tigers,stanford-cardinal,tennessee-volunteers,michigan-wolverines,texas-am-aggies,washington-huskies,utah-utes,baylor-bears,florida-state-seminoles,nebraska-cornhuskers,ole-miss-rebels,miami-fl-hurricanes,michigan-state-spartans,arkansas-razorbacks,san-diego-state-aztecs,tcu-horned-frogs,florida-gators,georgia-bulldogs,boise-state-broncos,north-dakota-state-bison
chuck-carlton,2016,5,alabama-crimson-tide,louisville-cardinals,ohio-state-buckeyes,michigan-wolverines,clemson-tigers,houston-cougars,wisconsin-badgers,stanford-cardinal,texas-am-aggies,washington-huskies,tennessee-volunteers,florida-state-seminoles,utah-utes,baylor-bears,miami-fl-hurricanes,michigan-state-spartans,nebraska-cornhuskers,ole-miss-rebels,san-diego-state-aztecs,arizona-state-sun-devils,boise-state-broncos,florida-gators,virginia-tech-hokies,west-virginia-mountaineers,arkansas-razorbacks
dana-sulonen,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,houston-cougars,clemson-tigers,stanford-cardinal,washington-huskies,wisconsin-badgers,texas-am-aggies,tennessee-volunteers,florida-state-seminoles,miami-fl-hurricanes,ole-miss-rebels,baylor-bears,michigan-state-spartans,texas-longhorns,florida-gators,nebraska-cornhuskers,utah-utes,tcu-horned-frogs,oklahoma-sooners,san-diego-state-aztecs,arizona-state-sun-devils,boise-state-broncos
dave-southorn,2016,5,alabama-crimson-tide,ohio-state-buckeyes,michigan-wolverines,clemson-tigers,louisville-cardinals,houston-cougars,wisconsin-badgers,stanford-cardinal,washington-huskies,florida-state-seminoles,texas-am-aggies,tennessee-volunteers,miami-fl-hurricanes,ole-miss-rebels,nebraska-cornhuskers,utah-utes,baylor-bears,san-diego-state-aztecs,michigan-state-spartans,texas-longhorns,florida-gators,arkansas-razorbacks,georgia-bulldogs,tcu-horned-frogs,boise-state-broncos
david-briggs,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,clemson-tigers,houston-cougars,wisconsin-badgers,texas-am-aggies,stanford-cardinal,washington-huskies,florida-state-seminoles,tennessee-volunteers,miami-fl-hurricanes,nebraska-cornhuskers,ole-miss-rebels,utah-utes,arkansas-razorbacks,michigan-state-spartans,tcu-horned-frogs,baylor-bears,san-diego-state-aztecs,boise-state-broncos,florida-gators,north-dakota-state-bison,oklahoma-sooners
ed-daigneault,2016,5,louisville-cardinals,alabama-crimson-tide,clemson-tigers,michigan-wolverines,ohio-state-buckeyes,houston-cougars,stanford-cardinal,washington-huskies,wisconsin-badgers,texas-am-aggies,florida-state-seminoles,tennessee-volunteers,miami-fl-hurricanes,tcu-horned-frogs,utah-utes,ole-miss-rebels,baylor-bears,michigan-state-spartans,texas-longhorns,nebraska-cornhuskers,oklahoma-sooners,boise-state-broncos,georgia-bulldogs,north-dakota-state-bison,arkansas-razorbacks
ed-johnson,2016,5,louisville-cardinals,alabama-crimson-tide,ohio-state-buckeyes,houston-cougars,clemson-tigers,michigan-wolverines,stanford-cardinal,florida-state-seminoles,wisconsin-badgers,miami-fl-hurricanes,ole-miss-rebels,texas-am-aggies,tennessee-volunteers,baylor-bears,nebraska-cornhuskers,washington-huskies,michigan-state-spartans,utah-utes,arkansas-razorbacks,oklahoma-sooners,georgia-bulldogs,florida-gators,tcu-horned-frogs,san-diego-state-aztecs,north-dakota-state-bison
eric-hansen,2016,5,ohio-state-buckeyes,louisville-cardinals,alabama-crimson-tide,houston-cougars,stanford-cardinal,michigan-wolverines,texas-am-aggies,wisconsin-badgers,clemson-tigers,washington-huskies,miami-fl-hurricanes,florida-state-seminoles,tennessee-volunteers,nebraska-cornhuskers,utah-utes,boise-state-broncos,ole-miss-rebels,michigan-state-spartans,oklahoma-sooners,san-diego-state-aztecs,baylor-bears,arkansas-razorbacks,arizona-state-sun-devils,virginia-tech-hokies,western-michigan-broncos
ferd-lewis,2016,5,alabama-crimson-tide,michigan-wolverines,ohio-state-buckeyes,louisville-cardinals,clemson-tigers,houston-cougars,stanford-cardinal,wisconsin-badgers,washington-huskies,texas-am-aggies,florida-state-seminoles,tennessee-volunteers,baylor-bears,miami-fl-hurricanes,nebraska-cornhuskers,ole-miss-rebels,utah-utes,michigan-state-spartans,georgia-bulldogs,san-diego-state-aztecs,arkansas-razorbacks,florida-gators,auburn-tigers,lsu-tigers,north-dakota-state-bison
garland-gillen,2016,5,alabama-crimson-tide,louisville-cardinals,ohio-state-buckeyes,michigan-wolverines,clemson-tigers,houston-cougars,stanford-cardinal,texas-am-aggies,wisconsin-badgers,tennessee-volunteers,washington-huskies,florida-state-seminoles,miami-fl-hurricanes,baylor-bears,nebraska-cornhuskers,michigan-state-spartans,utah-utes,san-diego-state-aztecs,texas-longhorns,arizona-state-sun-devils,ole-miss-rebels,colorado-buffaloes,arkansas-razorbacks,boise-state-broncos,west-virginia-mountaineers
garry-smits,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,clemson-tigers,houston-cougars,stanford-cardinal,texas-am-aggies,washington-huskies,tennessee-volunteers,wisconsin-badgers,nebraska-cornhuskers,utah-utes,arizona-state-sun-devils,san-diego-state-aztecs,michigan-state-spartans,texas-longhorns,florida-state-seminoles,baylor-bears,miami-fl-hurricanes,west-virginia-mountaineers,oklahoma-sooners,florida-gators,auburn-tigers,lsu-tigers
gary-horowitz,2016,5,alabama-crimson-tide,ohio-state-buckeyes,houston-cougars,louisville-cardinals,michigan-wolverines,clemson-tigers,wisconsin-badgers,stanford-cardinal,washington-huskies,texas-am-aggies,tennessee-volunteers,florida-state-seminoles,baylor-bears,nebraska-cornhuskers,san-diego-state-aztecs,miami-fl-hurricanes,michigan-state-spartans,ole-miss-rebels,utah-utes,north-dakota-state-bison,arizona-state-sun-devils,iowa-hawkeyes,texas-longhorns,boise-state-broncos,tcu-horned-frogs
graham-watson,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,clemson-tigers,stanford-cardinal,houston-cougars,texas-am-aggies,florida-state-seminoles,washington-huskies,tennessee-volunteers,baylor-bears,wisconsin-badgers,miami-fl-hurricanes,michigan-state-spartans,nebraska-cornhuskers,ole-miss-rebels,arkansas-razorbacks,san-diego-state-aztecs,utah-utes,texas-longhorns,florida-gators,lsu-tigers,georgia-bulldogs,boise-state-broncos
jason-galloway,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,michigan-wolverines,clemson-tigers,wisconsin-badgers,stanford-cardinal,houston-cougars,texas-am-aggies,washington-huskies,tennessee-volunteers,baylor-bears,florida-state-seminoles,miami-fl-hurricanes,nebraska-cornhuskers,utah-utes,ole-miss-rebels,michigan-state-spartans,san-diego-state-aztecs,arizona-state-sun-devils,georgia-bulldogs,texas-longhorns,western-michigan-broncos,oklahoma-sooners,west-virginia-mountaineers
jeff-miller,2016,5,alabama-crimson-tide,michigan-wolverines,ohio-state-buckeyes,louisville-cardinals,clemson-tigers,houston-cougars,stanford-cardinal,texas-am-aggies,wisconsin-badgers,washington-huskies,baylor-bears,nebraska-cornhuskers,tennessee-volunteers,miami-fl-hurricanes,florida-state-seminoles,utah-utes,ole-miss-rebels,tcu-horned-frogs,boise-state-broncos,michigan-state-spartans,arkansas-razorbacks,arizona-state-sun-devils,western-michigan-broncos,san-diego-state-aztecs,georgia-bulldogs
jerry-dipaola,2016,5,alabama-crimson-tide,ohio-state-buckeyes,michigan-wolverines,louisville-cardinals,clemson-tigers,wisconsin-badgers,stanford-cardinal,houston-cougars,washington-huskies,texas-am-aggies,tennessee-volunteers,florida-state-seminoles,baylor-bears,miami-fl-hurricanes,ole-miss-rebels,nebraska-cornhuskers,utah-utes,michigan-state-spartans,tcu-horned-frogs,texas-longhorns,oklahoma-sooners,florida-gators,san-diego-state-aztecs,boise-state-broncos,auburn-tigers
jimmy-burch,2016,5,louisville-cardinals,alabama-crimson-tide,ohio-state-buckeyes,houston-cougars,michigan-wolverines,clemson-tigers,stanford-cardinal,texas-am-aggies,washington-huskies,tennessee-volunteers,wisconsin-badgers,miami-fl-hurricanes,baylor-bears,nebraska-cornhuskers,florida-state-seminoles,utah-utes,san-diego-state-aztecs,arizona-state-sun-devils,florida-gators,ole-miss-rebels,michigan-state-spartans,arkansas-razorbacks,tcu-horned-frogs,colorado-buffaloes,boise-state-broncos
joe-dubin,2016,5,alabama-crimson-tide,louisville-cardinals,clemson-tigers,ohio-state-buckeyes,michigan-wolverines,stanford-cardinal,houston-cougars,texas-am-aggies,wisconsin-badgers,tennessee-volunteers,washington-huskies,florida-state-seminoles,miami-fl-hurricanes,baylor-bears,nebraska-cornhuskers,utah-utes,michigan-state-spartans,ole-miss-rebels,tcu-horned-frogs,texas-longhorns,arkansas-razorbacks,georgia-bulldogs,arizona-state-sun-devils,san-diego-state-aztecs,florida-gators
joe-walljasper,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,houston-cougars,michigan-wolverines,clemson-tigers,stanford-cardinal,wisconsin-badgers,texas-am-aggies,washington-huskies,florida-state-seminoles,tennessee-volunteers,ole-miss-rebels,baylor-bears,miami-fl-hurricanes,boise-state-broncos,nebraska-cornhuskers,florida-gators,michigan-state-spartans,arkansas-razorbacks,utah-utes,tcu-horned-frogs,san-diego-state-aztecs,memphis-tigers,colorado-buffaloes
joey-knight,2016,5,louisville-cardinals,alabama-crimson-tide,ohio-state-buckeyes,clemson-tigers,houston-cougars,michigan-wolverines,stanford-cardinal,washington-huskies,texas-am-aggies,wisconsin-badgers,florida-state-seminoles,nebraska-cornhuskers,tennessee-volunteers,baylor-bears,michigan-state-spartans,utah-utes,ole-miss-rebels,texas-longhorns,tcu-horned-frogs,miami-fl-hurricanes,arkansas-razorbacks,georgia-bulldogs,florida-gators,san-diego-state-aztecs,north-carolina-tar-heels
john-clay,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,clemson-tigers,houston-cougars,michigan-wolverines,stanford-cardinal,wisconsin-badgers,texas-am-aggies,washington-huskies,tennessee-volunteers,florida-state-seminoles,miami-fl-hurricanes,baylor-bears,ole-miss-rebels,tcu-horned-frogs,utah-utes,michigan-state-spartans,arkansas-razorbacks,nebraska-cornhuskers,georgia-bulldogs,iowa-hawkeyes,florida-gators,ucla-bruins,oklahoma-sooners
john-shinn,2016,5,alabama-crimson-tide,ohio-state-buckeyes,louisville-cardinals,clemson-tigers,michigan-wolverines,wisconsin-badgers,houston-cougars,texas-am-aggies,stanford-cardinal,washington-huskies,tennessee-volunteers,florida-state-seminoles,miami-fl-hurricanes,nebraska-cornhuskers,baylor-bears,ole-miss-rebels,utah-utes,michigan-state-spartans,west-virginia-mountaineers,san-diego-state-aztecs,arkansas-razorbacks,arizona-state-sun-devils,florida-gators,tcu-horned-frogs,georgia-bulldogs
