Season,Week,Official Borda Teams,Borda-Top1 Teams,Borda-Top1 Rankings,Borda-Top3 Teams,Borda-Top3 Rankings,Borda-Top5 Teams,Borda-Top5 Rankings,Borda-Top10 Teams,Borda-Top10 Rankings,Dowdall Teams,Dowdall Rankings
2014,1,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners","1, 2, 4","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners","1, 2, 4"
2014,2,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, oregon-ducks, georgia-bulldogs","1, 3, 6","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 3, 2","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 3, 2"
2014,3,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, texas-am-aggies","1, 2, 7","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,4,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, texas-am-aggies","1, 2, 6","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,5,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,6,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 3, 2","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,7,"florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3"
2014,8,"mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3"
2014,9,"mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3"
2014,10,"mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 4","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3"
2014,11,"mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 5","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3"
2014,12,"mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 4","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3"
2014,13,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3"
2014,14,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3"
2014,15,"alabama-crimson-tide, florida-state-seminoles, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","2, 1, 3","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","2, 1, 3"
2014,16,"alabama-crimson-tide, florida-state-seminoles, oregon-ducks","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, oregon-ducks","1, 2, 3"
2014,17,"ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs","1, 2, 3"
2015,1,"ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide","ohio-state-buckeyes, tcu-horned-frogs, auburn-tigers","1, 2, 6","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide","1, 2, 3","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide","1, 2, 3","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide","1, 2, 3","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide","1, 2, 3"
2015,3,"ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs","ohio-state-buckeyes, michigan-state-spartans, alabama-crimson-tide","1, 4, 2","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs","1, 2, 3"
2015,4,"ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","ohio-state-buckeyes, ole-miss-rebels, michigan-state-spartans","1, 3, 2","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","1, 2, 3","ohio-state-buckeyes, michigan-state-spartans, tcu-horned-frogs","1, 2, 4","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","1, 2, 3","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","1, 2, 3"
2015,5,"ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","ohio-state-buckeyes, ole-miss-rebels, michigan-state-spartans","1, 3, 2","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","1, 2, 3","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","1, 2, 3","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","1, 2, 3","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","1, 2, 3"
2015,6,"ohio-state-buckeyes, tcu-horned-frogs, baylor-bears","ohio-state-buckeyes, baylor-bears, utah-utes","1, 3, 5","ohio-state-buckeyes, tcu-horned-frogs, baylor-bears","1, 2, 3","ohio-state-buckeyes, tcu-horned-frogs, baylor-bears","1, 2, 3","ohio-state-buckeyes, tcu-horned-frogs, baylor-bears","1, 2, 3","ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","1, 3, 2"
2015,7,"ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","ohio-state-buckeyes, utah-utes, baylor-bears","1, 4, 2","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 4","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 4","ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","1, 2, 3","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 4"
2015,8,"ohio-state-buckeyes, baylor-bears, utah-utes","ohio-state-buckeyes, utah-utes, baylor-bears","1, 3, 2","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 3","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 3","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 3","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 3"
2015,9,"ohio-state-buckeyes, baylor-bears, clemson-tigers","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3"
2015,10,"ohio-state-buckeyes, baylor-bears, clemson-tigers","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3","ohio-state-buckeyes, baylor-bears, clemson-tigers","1, 2, 3"
2015,11,"clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3"
2015,12,"clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 3"
2015,13,"clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","1, 2, 3","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","1, 2, 3","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","1, 2, 3","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","1, 2, 3","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","1, 2, 3"
2015,14,"clemson-tigers, alabama-crimson-tide, oklahoma-sooners","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","1, 2, 4","clemson-tigers, alabama-crimson-tide, oklahoma-sooners","1, 2, 3","clemson-tigers, alabama-crimson-tide, oklahoma-sooners","1, 2, 3","clemson-tigers, alabama-crimson-tide, oklahoma-sooners","1, 2, 3","clemson-tigers, alabama-crimson-tide, oklahoma-sooners","1, 2, 3"
2015,15,"clemson-tigers, alabama-crimson-tide, michigan-state-spartans","clemson-tigers, alabama-crimson-tide, michigan-state-spartans","1, 2, 3","clemson-tigers, alabama-crimson-tide, michigan-state-spartans","1, 2, 3","clemson-tigers, alabama-crimson-tide, michigan-state-spartans","1, 2, 3","clemson-tigers, alabama-crimson-tide, michigan-state-spartans","1, 2, 3","clemson-tigers, alabama-crimson-tide, michigan-state-spartans","1, 2, 3"
2015,16,"alabama-crimson-tide, clemson-tigers, stanford-cardinal","alabama-crimson-tide, clemson-tigers, stanford-cardinal","1, 2, 3","alabama-crimson-tide, clemson-tigers, stanford-cardinal","1, 2, 3","alabama-crimson-tide, clemson-tigers, stanford-cardinal","1, 2, 3","alabama-crimson-tide, clemson-tigers, stanford-cardinal","1, 2, 3","alabama-crimson-tide, clemson-tigers, stanford-cardinal","1, 2, 3"
2016,1,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, florida-state-seminoles","1, 2, 4","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3"
2016,2,"alabama-crimson-tide, clemson-tigers, florida-state-seminoles","alabama-crimson-tide, florida-state-seminoles, clemson-tigers","1, 3, 2","alabama-crimson-tide, florida-state-seminoles, clemson-tigers","1, 3, 2","alabama-crimson-tide, clemson-tigers, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, clemson-tigers, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, clemson-tigers","1, 3, 2"
2016,3,"alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","alabama-crimson-tide, florida-state-seminoles, michigan-wolverines","1, 2, 4","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","1, 2, 3","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","1, 2, 3"
2016,4,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","alabama-crimson-tide, louisville-cardinals, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3"
2016,5,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","alabama-crimson-tide, louisville-cardinals, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3"
2016,6,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2016,7,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2016,8,"alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, michigan-wolverines, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3"
2016,9,"alabama-crimson-tide, michigan-wolverines, clemson-tigers","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3"
2016,10,"alabama-crimson-tide, michigan-wolverines, clemson-tigers","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3"
2016,11,"alabama-crimson-tide, michigan-wolverines, clemson-tigers","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3"
2016,12,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3"
2016,13,"alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 4","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3"
2016,14,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2016,15,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2016,16,"clemson-tigers, alabama-crimson-tide, usc-trojans","clemson-tigers, alabama-crimson-tide, washington-huskies","1, 2, 4","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3"
2017,1,"alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3"
2017,2,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, usc-trojans","1, 2, 6","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2017,3,"alabama-crimson-tide, oklahoma-sooners, clemson-tigers","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3"
2017,4,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3"
2017,5,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3"
2017,6,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3"
