Season,Week,Official Borda,Alternate Borda Method Teams,Alternate Borda Method Rankings
2014,1,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners","1, 2, 4"
2014,1,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners","1, 2, 4"
2014,2,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, oregon-ducks, georgia-bulldogs","1, 3, 6"
2014,2,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 3, 2"
2014,2,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 3, 2"
2014,3,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, texas-am-aggies","1, 2, 7"
2014,4,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, texas-am-aggies","1, 2, 6"
2014,6,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 3, 2"
2014,10,"mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 4"
2014,11,"mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 5"
2014,12,"mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 4"
2014,15,"alabama-crimson-tide, florida-state-seminoles, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","2, 1, 3"
2014,15,"alabama-crimson-tide, florida-state-seminoles, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","2, 1, 3"
2015,1,"ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide","ohio-state-buckeyes, tcu-horned-frogs, auburn-tigers","1, 2, 6"
2015,3,"ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs","ohio-state-buckeyes, michigan-state-spartans, alabama-crimson-tide","1, 4, 2"
2015,4,"ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","ohio-state-buckeyes, ole-miss-rebels, michigan-state-spartans","1, 3, 2"
2015,4,"ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","ohio-state-buckeyes, michigan-state-spartans, tcu-horned-frogs","1, 2, 4"
2015,5,"ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels","ohio-state-buckeyes, ole-miss-rebels, michigan-state-spartans","1, 3, 2"
2015,6,"ohio-state-buckeyes, tcu-horned-frogs, baylor-bears","ohio-state-buckeyes, baylor-bears, utah-utes","1, 3, 5"
2015,6,"ohio-state-buckeyes, tcu-horned-frogs, baylor-bears","ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","1, 3, 2"
2015,7,"ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","ohio-state-buckeyes, utah-utes, baylor-bears","1, 4, 2"
2015,7,"ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 4"
2015,7,"ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 4"
2015,7,"ohio-state-buckeyes, baylor-bears, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, utah-utes","1, 2, 4"
2015,8,"ohio-state-buckeyes, baylor-bears, utah-utes","ohio-state-buckeyes, utah-utes, baylor-bears","1, 3, 2"
2015,14,"clemson-tigers, alabama-crimson-tide, oklahoma-sooners","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes","1, 2, 4"
2016,1,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, florida-state-seminoles","1, 2, 4"
2016,2,"alabama-crimson-tide, clemson-tigers, florida-state-seminoles","alabama-crimson-tide, florida-state-seminoles, clemson-tigers","1, 3, 2"
2016,2,"alabama-crimson-tide, clemson-tigers, florida-state-seminoles","alabama-crimson-tide, florida-state-seminoles, clemson-tigers","1, 3, 2"
2016,2,"alabama-crimson-tide, clemson-tigers, florida-state-seminoles","alabama-crimson-tide, florida-state-seminoles, clemson-tigers","1, 3, 2"
2016,3,"alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","alabama-crimson-tide, florida-state-seminoles, michigan-wolverines","1, 2, 4"
2016,4,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","alabama-crimson-tide, louisville-cardinals, ohio-state-buckeyes","1, 3, 2"
2016,5,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","alabama-crimson-tide, louisville-cardinals, ohio-state-buckeyes","1, 3, 2"
2016,7,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes","1, 3, 2"
2016,8,"alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, michigan-wolverines, ohio-state-buckeyes","1, 3, 2"
2016,13,"alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 4"
2016,16,"clemson-tigers, alabama-crimson-tide, usc-trojans","clemson-tigers, alabama-crimson-tide, washington-huskies","1, 2, 4"
2017,1,"alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","1, 3, 2"
2017,2,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, usc-trojans","1, 2, 6"
2017,10,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","alabama-crimson-tide, georgia-bulldogs, wisconsin-badgers","1, 2, 4"
2017,11,"alabama-crimson-tide, georgia-bulldogs, notre-dame-fighting-irish","alabama-crimson-tide, georgia-bulldogs, wisconsin-badgers","1, 2, 6"
2017,12,"alabama-crimson-tide, miami-fl-hurricanes, oklahoma-sooners","alabama-crimson-tide, miami-fl-hurricanes, wisconsin-badgers","1, 2, 5"
2017,16,"alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","alabama-crimson-tide, ucf-knights, georgia-bulldogs","1, 6, 2"
2018,1,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, wisconsin-badgers","1, 2, 4"
2018,2,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, wisconsin-badgers","1, 2, 5"
2018,3,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, wisconsin-badgers","1, 2, 6"
2018,4,"alabama-crimson-tide, georgia-bulldogs, clemson-tigers","alabama-crimson-tide, clemson-tigers, georgia-bulldogs","1, 3, 2"
2018,5,"alabama-crimson-tide, georgia-bulldogs, clemson-tigers","alabama-crimson-tide, clemson-tigers, georgia-bulldogs","1, 3, 2"
2018,6,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 3, 4"
2018,7,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 3, 4"
2018,16,"clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","1, 2, 5"
2019,3,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, lsu-tigers","1, 2, 4"
2019,4,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, lsu-tigers","1, 2, 4"
2019,6,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes","1, 2, 4"
2019,7,"alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes","alabama-crimson-tide, clemson-tigers, georgia-bulldogs","1, 2, 4"
2019,10,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, lsu-tigers","2, 3, 1"
2019,10,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, lsu-tigers, ohio-state-buckeyes","2, 1, 3"
2019,11,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, lsu-tigers","2, 3, 1"
2019,11,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, lsu-tigers, ohio-state-buckeyes","2, 1, 3"
2020,2,"clemson-tigers, alabama-crimson-tide, oklahoma-sooners","clemson-tigers, lsu-tigers, georgia-bulldogs","1, 6, 4"
2020,3,"clemson-tigers, alabama-crimson-tide, oklahoma-sooners","clemson-tigers, lsu-tigers, alabama-crimson-tide","1, 6, 2"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 6, 2"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,5,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,5,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,11,"alabama-crimson-tide, notre-dame-fighting-irish, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, notre-dame-fighting-irish","1, 3, 2"
2020,17,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, texas-am-aggies","1, 2, 4"
2021,1,"alabama-crimson-tide, oklahoma-sooners, clemson-tigers","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 3, 2"
2021,4,"alabama-crimson-tide, georgia-bulldogs, oregon-ducks","alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","1, 2, 4"
2021,5,"alabama-crimson-tide, georgia-bulldogs, oregon-ducks","alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","1, 2, 6"
2021,6,"alabama-crimson-tide, georgia-bulldogs, iowa-hawkeyes","alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","1, 2, 6"
2021,7,"georgia-bulldogs, iowa-hawkeyes, cincinnati-bearcats","georgia-bulldogs, alabama-crimson-tide, iowa-hawkeyes","1, 5, 2"
2021,8,"georgia-bulldogs, cincinnati-bearcats, oklahoma-sooners","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 4, 2"
2021,9,"georgia-bulldogs, cincinnati-bearcats, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 2"
2021,10,"georgia-bulldogs, cincinnati-bearcats, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 2"
2021,11,"georgia-bulldogs, cincinnati-bearcats, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 2"
2021,13,"georgia-bulldogs, ohio-state-buckeyes, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 4"
2021,14,"georgia-bulldogs, michigan-wolverines, cincinnati-bearcats","georgia-bulldogs, alabama-crimson-tide, michigan-wolverines","1, 4, 2"
2021,15,"alabama-crimson-tide, michigan-wolverines, georgia-bulldogs","alabama-crimson-tide, michigan-wolverines, cincinnati-bearcats","1, 2, 4"
2021,15,"alabama-crimson-tide, michigan-wolverines, georgia-bulldogs","alabama-crimson-tide, michigan-wolverines, cincinnati-bearcats","1, 2, 4"
2022,5,"georgia-bulldogs, alabama-crimson-tide, ohio-state-buckeyes","georgia-bulldogs, ohio-state-buckeyes, alabama-crimson-tide","1, 3, 2"
2022,6,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","georgia-bulldogs, alabama-crimson-tide, ohio-state-buckeyes","2, 1, 3"
2022,6,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","georgia-bulldogs, alabama-crimson-tide, ohio-state-buckeyes","2, 1, 3"
2022,10,"georgia-bulldogs, ohio-state-buckeyes, tennessee-volunteers","georgia-bulldogs, tennessee-volunteers, ohio-state-buckeyes","1, 3, 2"
2022,10,"georgia-bulldogs, ohio-state-buckeyes, tennessee-volunteers","georgia-bulldogs, tennessee-volunteers, ohio-state-buckeyes","1, 3, 2"
2022,16,"georgia-bulldogs, tcu-horned-frogs, michigan-wolverines","georgia-bulldogs, tcu-horned-frogs, ohio-state-buckeyes","1, 2, 4"
2023,2,"georgia-bulldogs, michigan-wolverines, alabama-crimson-tide","georgia-bulldogs, florida-state-seminoles, michigan-wolverines","1, 4, 2"
2023,3,"georgia-bulldogs, michigan-wolverines, florida-state-seminoles","georgia-bulldogs, florida-state-seminoles, texas-longhorns","1, 3, 4"
2023,4,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, texas-longhorns, michigan-wolverines","1, 3, 2"
2023,4,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, michigan-wolverines, florida-state-seminoles","1, 2, 4"
2023,4,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, michigan-wolverines, florida-state-seminoles","1, 2, 4"
2023,5,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, florida-state-seminoles, texas-longhorns","1, 5, 3"
2023,8,"georgia-bulldogs, michigan-wolverines, ohio-state-buckeyes","georgia-bulldogs, michigan-wolverines, washington-huskies","1, 2, 5"
2023,13,"georgia-bulldogs, ohio-state-buckeyes, michigan-wolverines","georgia-bulldogs, ohio-state-buckeyes, washington-huskies","1, 2, 4"
2023,15,"michigan-wolverines, washington-huskies, texas-longhorns","michigan-wolverines, washington-huskies, florida-state-seminoles","1, 2, 4"
2023,15,"michigan-wolverines, washington-huskies, texas-longhorns","michigan-wolverines, washington-huskies, florida-state-seminoles","1, 2, 4"
2023,16,"michigan-wolverines, washington-huskies, texas-longhorns","michigan-wolverines, washington-huskies, georgia-bulldogs","1, 2, 4"
2024,2,"georgia-bulldogs, ohio-state-buckeyes, texas-longhorns","georgia-bulldogs, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 4"
2024,3,"georgia-bulldogs, texas-longhorns, ohio-state-buckeyes","georgia-bulldogs, ohio-state-buckeyes, texas-longhorns","1, 3, 2"
